Year,"color band (XoYleft, right)"
2018,"DBR/Al, DG/O"
2018,"LGL/Al, DB/DG"
2018,"B/AL, LB/Y"
2018,"R/Al, W/DB"
2018,"B/Y, R/Al"
2018,"LGL/W, R/Al"
2018,"R/W, LGL/Al"
2018,"Y/R, DG/Al"
2018,"DB/AL, B/Y"
2018,"DG/Al, HPDB/W"
2018,"B/Al, DB/B"
2018,"DBR/Al, LB/L"
2018,"R/Al, LB/Y"
2018,"LGL/Al, Y/W"
2018,"DB/Al, DBR/DG"
2018,"W/DG, Y/Al"
2018,"B/LGL, LB/Al"
2018,"RW/Al, LB/DG"
2018,"LG/Al, DBR/Y"
2018,"R/Y, LB/Al"
2018,"DG/DB, BW/Al"
2018,"LB/W, Y/Al"
2018,"B/Al, Y/LB"
2018,"DB/L, Y/Al"
2018,"DG/DB, LG/Al"
2018,"W/Al, DBR/Y"
2018,"B/LB, Y/Al"
2018,"B/LW, O/AL"
2018,"LW/RW, B/AL"
2018,"DB/LW, HPDB/Al"
2018,"LW/LB, DB/Al"
2018,"O/DG, LW/Al"
2018,"BW/LW, R/Al"
2018,"O/W, DB/Al"
2018,"LG/RW, R/Al"
2018,"LW/DG, B/Al"
2018,"O/Al, LW/Y"
2018,"W/Al, R/Y"
2018,"LB/Y, O/Al"
2018,"L/DG, LB/Al"
2018,"W/DBR, BW/Al"
2018,"HPDB/O, DB/Al"
2018,"B/Al, O/Y"
2018,"L/R, LW/Al"
2018,"R/DG, Y/Al"
2018,"DB/L, DG/Al"
2018,"RW/BW, DG/Al"
2018,"LB/DB, Y/AL"
2018,"DB/Y, O/Al"
2018,"DBR/W, R/Al"
2018,"RW/LB, Y/Al"
2018,"LG/L, LB/Al"
2018,"L/Al, LW/R"
2018,"Y, L/AL"
2018,"Y/BW, O/Al"
2018,"Y/RW, L/Al"
2018,"DG/LW, Y/Al"
2018,"LGL/Y, R/Al"
2018,"DG/AL, BW/L"
2018,"LW/Al, R/HPDB"
2018,"DBR/Al, LGL/O"
2018,"DG/Al, Y/DB"
2018,"LW/Al, HPDB/DG"
2018,"DBR/DBR,R/AL"
2018,"RW/RW, RW/Al"
2018,"R/W, R/Al"
2018,"RW/DB, R/Al"
2018,"R/R, W/Al"
2018,"LG/LW, DB/Al"
2018,"BW/LG, O/Al"
2018,"R/LB, DG/Al"
2018,"Y/Al, O/RW"
2018,"O/Al, Y/LGL"
2018,"RW/Al, LG/L"
2018,"DB/Al, LW/DG"
2018,"W/AL, O/R"
2018,"Y/DBR, O/Al"
2018,"BW/DB, O/Al"
2018,"O/L, LGL/Al"
2018,"LB/DG, LG/Al"
2018,"L/Al, RW/O"
2018,"DB/B, DG/Al"
2018,"DBR/Y, W/Al"
2018,"O/DB, LW/Al"
2018,"Y/DG, B/Al"
2018,"Y/LW, DB/Al"
2018,"DG/DBR, LB/Al"
2018,"DB/HPDB, LB/Al"
2018,"O/Al, LW/BW"
2018,"HPDB/LB, DG/Al"
2018,"LGL/LW, O/Al"
2018,"LG/HPDB, Y/Al"
2018,"BW/HPDB, DG/Al"
2018,
2018,"Y/O, Y/Al"
2018,"RW/LG, HPDB/Al"
2018,"W/R, LB/Al"
2018,
2018,"RW/L, O/Al"
2018,"Y/HPDB, O/Al"
2018,"LB/R, Y/Al"
2018,"DB/R, Y/Al"
2018,"L/DB, R/Al"
2018,"LB/DB, W/Al"
2018,
2018,"DG/R, W/Al"
2018,"L/O, DG/Al"
2018,
2018,"L/Al, LB/Y"
2018,"Y/L, LW/Al"
2018,"LW/Y, Y/Al"
2018,"L/Y, L/Al"
2018,"LW/LW, Y/Al"
2018,"LB/LG, DG/Al"
2018,"LG/LB, DB/Al"
2018,"LW/DG, R/Al"
2018,"LG/R, LW/Al"
2018,"LW/O, LG/Al"
2018,"LW/DB, LG/Al"
2018,"Y/Al, O/HPDB"
2018,"LB/BW, DB/Al"
2018,"HPDB/L, LB/Al"
2018,"W/LG, R/Al"
2018,"DB/W, DG/Al"
2018,"R/Y, O/Al"
2018,"HPDB/Al, Y/W"
2018,"HPDB/Al, R/Y"
2018,"RY/RY, LB/Al"
2018,"DG/LB, L/Al"
2018,"W/RY, LG/Al"
2018,"RY/DB, Y/Al"
2018,"LG/O, R/Al"
2018,"RW/Y, LG/Al"
2018,"HPDB/LG, DB/Al"
2018,"DB/LG, Y/Al"
2018,"DG/LB, Y/Al"
2018,"Y/LB, DG/Al"
2018,"LG/Y, DB/Al"
2018,"BW/O, LB/Al"
2018,"R/LG, O/Al"
2018,"BW/O, R/Al"
2018,"Y/RW, R/Al"
2018,"BW/Al, Y/BW"
2018,"LG/W, Y/Al"
2018,"RW/O, DB/Al"
2018,"W/HPDB, LG/Al"
2018,"W/L, LG/Al"
2018,"Y/LG, L/Al"
2018,"W/DB, R/Al"
2018,"DB/O, DG/Al"
2018,"HPDB/BW, DB/Al"
2018,"DB/RY, LB/Al"
2018,"BW/Y, LB/Al"
2018,"LB/HPDB, LG/Al"
2018,"DG/DB, DG/Al"
2018,"LG/O, LB/Al"
2018,"DG/Y, LB/Al"
2018,"LG/Al, LW/DB"
2018,"HPDB/AL, L/LB"
2018,"HPDB/RW, O/Al"
2018,"W/Y, DB/Al"
2018,"W/LB, DG/Al"
2018,"BW/LB, O/Al"
2018,"W/Al, LW/R"
2018,"R/Al, LW/DB"
2018,"LG/Al, Y/R"
2018,"R/Al, LW/LG"
2018,"Y/Al, DG/DB"
2018,"DG/HPDB, RW/Al"
2018,"O/DB, HPDB/AL"
2018,"Y/DB,RW/AL"
2018,"RW/DG, O/Al"
2018,"DG/BW, Y/Al"
2018,"O/LB, R/Al"
2018,"LW/DB, Y/Al"
2018,"Y/BW, R/Al"
2018,"R/L, Y/Al"
2018,"LG/W, LG/AL"
2018,"W/LB, L/Al"
2018,"LW/LG, DB/Al"
2018,"DG/R, Y/Al"
2018,"LG/W, L/Al"
2018,"DB/LG, DG/Al"
2018,"RW/L, DB/Al"
2018,"DB/W, Y/Al"
2018,"W/DG, R/Al"
2018,"W/Al, L/R"
2018,"HPDB/Y, LB/Al"
2018,"DB/RW, LB/Al"
2018,"DB/LB, Y/Al"
2018,"Y/DB, O/Al"
2018,"LW/DB, R/Al"
2018,"HPDB/O, DB/Al"
2018,"Y/BW, W/AL"
2018,"BW/L, Y/Al"
2018,"W/O, R/Al"
2018,"LB/O, HPDB/Al"
2018,"DG/HPDB, Y/Al"
2018,"HPDB/DG, W/Al"
2018,"LB/Y, DB/Al"
2018,"LG/Al, R/Y"
2018,"R/LG, DB/Al"
2018,"LG/HPDB, R/Al"
2018,"W/O, DB/Al"
2018,"R/DG, DB/Al"
2018,"Y/W, DB/Al"
2018,"DB/Y, W/Al"
2018,"O/DG, Y/Al"
2018,"W/DB, Y/Al"
2018,"R/BW, Y/Al"
2018,"BW/Y, R/Al"
2018,"L/BW, DG/Al"
2018,"W/W, W/Al"
2018,"R/W, DB/Al"
2018,"DG/W, O/Al"
2018,"LB/W, DG/Al"
2018,"W/LG, L/Al"
2018,"BW/LG, LGL/Al"
2018,"BW/LB, DB/Al"
2018,"LW/BW, Y/Al"
2018,"Y/W, L/Al"
2018,"LW/Y, L/Al"
2018,"DB/Y, DG/Al"
2018,"Y/DB, LG/Al"
2018,"Y/LG, R/Al"
2018,"BW/DB, LW/Al"
2018,"DG/RW, DB/Al"
2018,"L/W, R/Al"
2018,"LB/Al, L/DB"
2018,"HPDB/Al, DG/LG"
2018,"O/L, DB/Al"
2018,"DG/L, W/Al"
2018,"W/Y, DG/Al"
2018,"O/BW, DB/Al"
2018,"O/RW, Y/Al"
2018,"DG/O, R/Al"
2018,"O/Y, LG/Al"
2018,"LG/Y, DG/Al"
2018,"O/Al, L/DB"
2018,"LW/HPDB, LW/Al"
2018,"DB/O, LB/Al"
2018,"DG/Al, R/DB"
2018,"L/Y, Y/Al"
2018,"BW/Y, LW/Al"
2018,"W/L, Y/Al"
2018,"W/Y, L/Al"
2018,"DB/Al, DB/DB"
2018,"DB/Al, L/LB"
2018,"RW/BW, R/Al"
2018,"HPDB/R, W/Al"
2018,"LB/Al, R/DG"
2018,"DB/R, RW/Al"
2018,"LB/L, O/Al"
2018,"BW/DG, L/Al"
2018,"W/DG,Y/AL"
2019,"R/Al, DB/L"
2019,"LB/Al, LG/DB"
2019,"DB/Al, HPDB/DG"
2019,"LB/Al, HPDB/LG"
2019,"RW/Al, DB/Y"
2019,"BW/Al, LG/R"
2019,"LB/Al, DB/BW"
2019,"DB/Al, Y/DG"
2019,"O/Al, LB/R"
2019,"HPDB/Al, LG/O"
2019,"LB/Al, R/Y"
2019,"Y/Al, BW/LB"
2019,"O/Al, R/Y"
2019,"LB/Al, DB/R"
2019,"O/Al, LG/LB"
2019,"HPDB/Al, L/DG"
2019,"BW/DB, LW/Al"
2019,"DB/Al, Y/O"
2019,"O/Al, LG/L"
2019,"DBR/Y, W/Al"
2019,"Y/Al, DB/W"
2019,"L/Al, BW/DG"
2019,"Y/DB, R/Al"
2019,"R/Al, LB/DB"
2019,"L/Al, RW/DB"
2019,"RW/Al, O/LG"
2019,"O/Al, R/DG"
2019,"Y/Al, BW/O"
2019,"R/Al, LG/L"
2019,"BW/Al, LW/LG"
2019,"DB/Al, W/DB"
2019,"O/Al, DB/L"
2019,"HPDB/Al, Y/R"
2019,"W/Al, DB/Y"
2019,"BW/Al, BW/BW"
2019,"O/Al, W/O"
2019,"W/Al, R/DB"
2019,"DG/Al, LG/Y"
2019,"Y/Al, O/DB"
2019,"Y/Al, LW/O"
2019,"DB/Al, R/L"
2019,"Y/Al, DB/DG"
2019,"L/Al, Y/LW"
2019,"LG/Al, HPDB/BW"
2019,"R/Al, RW/RW"
2019,"L/R, Al/LG"
2019,"R/LG, Al/L"
2019,"DB/LG, Al/L"
2019,"LG/DB, R/Al"
2019,"Y/HPDB, DB/Al"
2019,"DB/Y, HPDB/Al"
2019,"LG/HPDB, DB/Al"
2019,"LG/Al, O/DG"
2019,"L/Y, W/Al"
2019,"Y/L, BW/Al"
2019,"L/BW, Y/Al"
2019,"DB/Al, O/LG"
2019,"W/DB, DG/Al"
2019,"DG/Al, LG/RW"
2019,"DB/DG, LG/Al"
2019,"LG/DB, W/Al"
2019,"HPDB/LG, W/Al"
2019,"W/HPDB, DG/Al"
2019,"LG/W, HPDB/Al"
2019,"DG/W, HPDB/Al"
2019,"W/LG, DB/Al"
2019,"DG/DB, W/Al"
2019,"L/DB, RW/Al"
2019,"RW/L, Al/DB"
2019,"BW/LB, L/Al"
2019,"RW/LB, DG/Al"
2019,"LB/RW, DG/Al"
2019,"LG/RW, LG/Al"
2019,"DG/Al, LG/W"
2019,"RW/DG, LG/Al"
2019,"RY/L, LG/Al"
2019,"LG/L, RY/Al"
2019,"LG/RY, L/Al"
2019,"RY/W, LG/Al"
2019,"DG/O, W/Al"
2019,"W/RY, O/Al"
2019,"O/W, Y/Al"
2019,"Y/W, O/Al"
2019,"W/HPDB, Y/Al"
2019,"W/Al, Y/HPDB"
2019,"HPDB/W, Y/Al"
2019,"W/Y, HPDB/Al"
2019,"Y/HPDB, W/Al"
2019,"HPDB/Y, W/Al"
2019,"R/LW, HPDB/Al"
2019,"DG/R, HPDB/Al"
2019,"HPDB/DG, R/Al"
2019,"LW/DG, HPDB/Al"
2019,"DG/LW, HPDB/Al"
2019,"Y/DG, HPDB/Al"
2019,"Y/DG, O/Al"
2019,"O/LG, RW/Al"
2019,"RW/O, LG/Al"
2019,"LG/RW, O/Al"
2019,"LG/O, RW/Al"
2019,"R/W, HPDB/Al"
2019,"W/HPDB, O/Al"
2019,"O/W, R/Al"
2019,"HPDB/Y, RW/Al"
2019,"Y/HPDB, RW/Al"
2019,"RW/Y, HPDB/Al"
2019,"O/BW, Y/Al"
2019,"BW/Y, O/Al"
2019,"Y/O, BW/Al"
2019,"O/Y, BW/Al"
2019,"R/BW, HPDB/Al"
2019,"BW/R, HPDB/Al"
2019,"BW/R, O/Al"
2019,"RY/W, O/Al"
2019,"LG/W, RY/Al"
2019,"BW/Y, LG/Al"
2019,"R/LB, L/Al"
2019,"LB/R, L/Al"
2019,"R/L, LG/Al"
2019,"R/LG, L/Al"
2019,"L/R, LG/Al"
2019,"LG/L, R/Al"
2019,"L/R, Y/Al"
2019,"DG/R, L/Al"
2019,"Y/DG, R/Al"
2019,"R/LG, Y/Al"
2019,"LW/R, BW/Al"
2019,"R/BW, LW/Al"
2019,"R/LW, BW/Al"
2019,"BW/R, LW/Al"
2019,"O/Al, RW/L"
2019,"LG/BW, W/Al"
2019,"W/LG, BW/Al"
2019,"LG/W, BW/Al"
2019,"W/RY, HPDB/Al"
2019,"HPDB/W, RY/Al"
2019,"RY/W, HPDB/Al"
2019,"BW/LG, W/Al"
2019,"LG/RW, W/Al"
2019,"RW/LG, W/Al"
2019,"W/LG, RW/Al"
2019,"R/Al, HPDB/W"
2019,"R/HPDB, W/Al"
2019,"W/HPDB, R/Al"
2019,"RW/HPDB, W/Al"
2019,"HPDB/W, R/Al"
2019,"BW/O, HPDB/Al"
2019,"O/HPDB, BW/Al"
2019,"LW/RY, W/Al"
2019,"RY/LW, W/Al"
2019,"DG/W, Y/Al"
2019,"W/DG, Y/Al"
2019,"RW/Al, Y/HPDB"
2019,"BW/O, L/Al"
2019,"L, Al"
2019,"L/O, BW/Al"
2019,"O/L, BW/Al"
2019,Al
2019,"L/Al, O/BW"
2019,"LW/RW, O/Al"
2019,"O/BW, RW/Al"
2019,"RW/O, BW/Al"
2019,"O/RW, BW/Al"
2019,"LW/HPDB, LG/Al"
2019,"LG/HPDB, LW/Al"
2019,"HPDB/LG, BW/Al"
2019,"BW/LG, HPDB/Al"
2019,"RW/LG, DG/Al"
2019,"RW/BW, HPDB/Al"
2019,"BW/RW, HPDB/Al"
2019,"RY/W, Y/Al"
2019,"W/RY, BW/Al"
2019,"HPDB/O,LW/AL"
2019,"LW/AL,O/HPDB"
2019,"LW/O,HPDB/AL"
2019,"LW/HPDB,O/AL"
2019,"O/HPDB,LW/AL"
2019,"BW/LW, HPDB/AL"
2019,"HPDB/BW, RY/AL"
2019,"LW/HPDB, BW/AL"
2019,"HPDB/BW, LW/AL"
2019,"DG/RW, RW/Al"
2019,"W/DG, HPDB/Al"
2019,"DG/HPDB, LW/Al"
2019,"HPDB/LW, DG/Al"
2019,"W/HPDB, L/Al"
2019,"HPDB/W, L/Al"
2019,"LGL/Y, W/Al"
2019,"W/Y, LGL/Al"
2019,"Y/LGL, W/Al"
2019,"Y/W, LGL/Al"
2019,"W/LGL, Y/Al"
2019,"LG/HPDB, W/Al"
2019,"LW/LG, W/Al"
2019,"W/O, LGL/Al"
2019,"O/LW, LG/Al"
2019,"W/O, LW/Al"
2019,"L/R, BW/Al"
2019,"L/BW, R/Al"
2019,"LW/LG, RW/Al"
2019,"W/LG, HPDB/Al"
2019,"LG/W, HPDB/Al"
2019,"LG/DG, DB/Al"
2019,"RW/Al, LGY/LGY"
2019,"LGY/W, LGY/AL"
2019,"HPDB/LGY, W/AL"
2019,"W/DG, LGY/AL"
2019,"HPDB/HDBP, HPDB/AL"
2019,"LB/LW, RY/Al"
2019,"RY/LW, LB/Al"
2019,"LW/LB, RY/Al"
2019,"LB/HPDB, RY/Al"
2019,"HPDB/LB, RY/Al"
2019,"RY/LB, HPDB/Al"
2019,"LB/RY, HPDB/Al"
2019,"HPDB/LG, LW/Al"
2019,"LW/LG, HPDB/Al"
2019,"Y/HPDB, LW/Al"
2019,"W/HPDB, RY/Al"
2019,"W/RY, LW/Al"
2019,"RY/W, LW/Al"
2019,"HPDB/LW, O/Al"
2019,"LW/HPDB, O/Al"
2019,"LGY/RW, RW/AL"
2019,"R/AL, L/Y"
2019,"O/AL, LW/Y"
2019,"W/AL, O/R"
2019,"DB/AL, W/O"
2019,"LG/Al, BW/O"
2019,"L/AL, RY/RY"
2019,"RW/Al, Y/HPDB"
2019,"LG/RW, LW/Al"
2019,"RW/LG, LW/Al"
2019,"LW/RW, RY/Al"
2019,"RY/LW, RW/Al"
2019,"LW/RY, RW/Al"
2019,"HPDB/RY, LG/Al"
2019,"RY/HPDB, LG/Al"
2019,"LB/RY, LW/Al"
2019,"DG/AL, R/O"
2019,"L/AL, RW/L"
2019,"HPDB/Al, DB/W"
2019,"LW/Al, LB/R"
2019,"LW/Al, RY/LB"
2019,"B/AL, Y/LB"
2019,"HPDB/DG, RY/Al"
2019,"DG/HPDB, RY/Al"
2019,"LW/HPDB, DG/Al"
2019,"HPDB/DG, RY/AL"
2019,"HPDB/Al, DG/W"
2019,"HPDB/AL, RW/RY"
2019,"R/Al, DG/L"
2019,"DG/Al, W/LG"
2019,"BW/LB, HPDB/Al"
2019,"LB/BW, HPDB/Al"
2019,"LB/HPDB, BW/Al"
2019,"B/Y, RW/AL"
2019,"Y/B, O/AL"
2019,"LGL/RW, B/AL"
2019,"B/R, LGL/AL"
2019,"B/LGL, O/AL"
2019,"RW/B, DG/AL"
2019,"L/RW, L/AL"
2019,"B/Al, DB/O"
2019,"R/Al, DG/Y"
2019,N/A
2019,"B/W, W/AL"
2019,"RW/Y, L/AL"
2019,"R/Y, DG/Al"
2019,"DG/Y, R/Al"
2019,"Y/R, DG/Al"
2019,"LW/AL, R/HPDB"
2019,"L/Al, RW/L"
2019,"DG/Al, B/Y"
2019,"O/DG, W/Al"
2019,"W/O, DG/Al"
2019,"W/DG, O/Al"
2019,"B/Y, W/Al"
2019,"W/Y, B/Al"
2019,"Y/W, B/Al"
2019,"DB/Al, R/DG"
2019,"DG/HPDB, O/Al"
2019,"HPDB/DG, O/Al"
2019,"O/HPDB, DG/Al"
2019,"HPDB/O, DG/Al"
2019,"RY/DB, W/Al"
2019,"DB/RY, W/Al"
2019,"W/DB, RY/Al"
2019,
2019,"HPDB/LG, L/AL"
2019,"L/LG, HPDB/AL"
2019,"LG/L, HPDB/Al"
2019,"O/LGL, DB/Al"
2019,"LGL/O, DB/Al"
2019,"DB/LGL, O/AL"
2019,"DB/O, LGL/AL"
2019,"Y/LW, DG/Al"
2019,"LW/Y, DG/Al"
2019,"BW/O, Y/Al"
2019,"LW/DB, W/Al"
2019,"DB/LW, W/Al"
2019,"W/DB, LW/Al"
2019,"DB/W, LW/Al"
2019,"W/Al, R/DG"
2019,"DB/Al, Y/W"
2019,"HPDB/DG, Y/Al"
2019,"HPDB/Y, DG/Al"
2019,"Y/HPDB, DG/Al"
2019,"DG/Y, HPDB/Al"
2019,"O/BW, R/Al"
2019,"R/BW, O/Al"
2019,"B/Al, W/R"
2019,"Y/Al, O/DG"
2019,"DB/LW, DG/Al"
2019,"LW/DB, DG/Al"
2019,"DG/LW, DB/Al"
2019,"L/AL, BW/Y"
2019,"LW/O, R/Al"
2019,"O/R, LW/Al"
2019,"O/LW, R/Al"
2019,"W/AL, RW/DG"
2019,"BW/DB, Y/Al"
2019,"DB/BW, Y/Al"
2019,"Y/BW, DB/Al"
2019,"BW/Y, DB/Al"
2019,"DB/Y, BW/Al"
2019,"DB/Al, LW/Y"
2019,"HPDB/Al, O/LW"
2019,"RY/Al, DG/R"
2019,"RY/DB, DG/Al"
2019,
2019,"DB/DG, RY/Al"
2019,"LW/Y, W/Al"
2019,"Y/LW, W/Al"
2019,"W/Y, LW/Al"
2019,"DG/DB, RY/Al"
2019,"DB/RY, DG/Al"
2019,"RY/DG, DB/Al"
2019,"DG/RY, DB/Al"
2019,"RY/B, DB/Al"
2019,"DB/Al, RW/LB"
2019,"B/Y, W/Al"
2019,"RW/AL, BW/LG"
2019,"R/Al, DB/W"
2019,"R/Al, DB/W"
2019,"HPDB/Al, W/Y"
2019,"B/Al, DG/Y"
2019,"DB/DG, O/Al"
2019,"DG/Al, BW/R"
2019,"R/AL, Y/DB"
2019,"W/Al, DB/BW"
2019,"W/O, DG/AL"
2019,"AL/O, W/DG"
2019,"O/W, DG/AL"
2019,"W/LG, W/AL"
2019,"LG/W, W/AL"
2019,"RW/R, LG/AL"
2019,"RW/LG, R/AL"
2019,"Y/Al, B/DB"
2019,
2019,"LB/AL, LG/DB"
2019,
2019,"O/L, W/Al"
2019,"L/O, W/Al"
2019,"RW/L, DG/Al"
2019,"L/RW, DG/Al"
2019,"DG/RW, L/Al"
2019,"Y/DB, DG/Al"
2019,"Y/DG, DB/Al"
2019,"DG/Y, DB/Al"
2019,"HPDB/Al, O/LW"
2019,"O/Al, W/DG"
2019,"Y/Al, O/DG"
2019,"DB/B, RW/Al"
2019,
2019,"DB/RW, B/Al"
2019,"RW/DB, B/Al"
2019,"B/DB, RW/Al"
2019,"B/RW, DB/Al"
2019,"L/Al, DG/Y"
2019,"LB/Al, DB/BW"
2019,"DG/LW, O/Al"
2019,"DG/O, LW/Al"
2019,"BW/DB, LW/AL"
2019,"HPDB/B, Y/Al"
2019,"B/HPDB, Y/Al"
2019,"DB/W, RW/AL"
2019,"W/RW, DB/AL"
2019,"W/DB, RW/AL"
2019,"L/Al, B/DB"
2019,"LG/Al, R/L"
2019,"RW/Al, LG/W"
2019,"DB/Y, RW/Al"
2019,"RW/Y, DB/Al"
2019,"Y/RW, DB/Al"
2019,"R/HPDB, Y/Al"
2019,"HPDB/R, Y/Al"
2019,"Y/HPDB, R/Al"
2019,"O/Al, W/O"
2019,"Y/AL, W/Y"
2019,"DG/R, R/AL"
2020,"W/AL, R/HPDB"
2020,"W/HPDB, DG/Al"
2020,"DB/Al, W/HPDB"
2020,"O/L, BW/Al"
2020,"R/Al, LB/LW"
2020,"RY/Al, W/LW"
2020,"O/Al, RY/BW"
2020,"BW/Al, O/LB"
2020,"DG/Al, LG/DG"
2020,"B/Al, LB/Y"
2020,"Y/Al, RW/DG"
2020,"DG/AL, DBR/Y"
2020,"L/Al, RY/DG"
2020,"DG/Al, O/LW"
2020,"RY/Al, DB/W"
2020,"O/Al, RY"
2020,"R/Al, L/DG"
2020,"O/Al, L/DG"
2020,"LB/Al, L/B"
2020,"HPDB/Al, O/W"
2020,"O/Al, R/Y"
2020,"Y/Al, O/LW"
2020,"LB/Al, HPDB/R"
2020,"LB/Al, Y/DG"
2020,"O/Al, L/B"
2020,"Y/Al, HPDB/BW"
2020,"W/LG, R/Al"
2020,"O/Al, RW/LB"
2020,"Y/Al, O/LGL"
2020,"LB/Al, O/L"
2020,"RY/LW, RW/Al"
2020,"DG/Al, RW/Y"
2020,"R/Al, O/DB"
2020,"L/Al, BW/DB"
2020,"B/AL, Y/R"
2020,"Y/Al, B/LW"
2020,"Y/AL, B/Y"
2020,"DB/AL, W/RW"
2020,"LB/Al, O/W"
2020,"R/Al, W/HPDB"
2020,"DG/Al, L/B"
2020,"LW/Al, HPDB/W"
2020,"B/AL, BW/DG"
2020,"LW/Al, O/DB"
2020,"O/Al, R/LW"
2020,
2020,"R/AL, HPDB/W"
2020,"L/Al, L/RY"
2020,"Y/Al, L/HPDB"
2020,"Y/HPDB, DG/Al"
2020,"LB/Al, BW/O"
2020,"LB/Al, L/B"
2020,"BW/Al, W/O"
2020,"R/Al, LB/O"
2020,"RW/Al, Y/W"
2020,"O/AL, DB/RW"
2020,"L/Al, DB/O"
2020,"DB/Al, O/O"
2020,"O/Al, W/DB"
2020,"DG/Al, W/R"
2020,"W/Al, L/R"
2020,"RW/Al, DB/Y"
2020,"BW/Al, LG/R"
2020,"DG/Al, Y/W"
2020,"Y/DB, W/Al"
2020,"R/Al, W/O"
2020,"W/Al, LGL/R"
2020,"L/Al, O/W"
2020,"R/O, DG/Al"
2020,"W/DB, L/Al,"
2020,"DB/Al, LGL/R"
2020,"B/Al, W/DB"
2020,"Y/Al, R/O"
2020,"LB/Al, O/L"
2020,"B/DG, R/Al"
2021,"R/Al, L/LB"
2021,"B/AL, Y/O"
2021,"B/AL, HPDB/W"
2021,"O/Al, BW/LB"
2021,"B/Al, LB/HPDB"
2021,"RW/Al, B/LB"
2021,"Y/Al, O/LGL"
2021,"RY/Al, LW/RW"
2021,"LB/Al, L/RY"
2021,
2021,"L/Al, LG/RY"
2021,
2021,"O/Al, DB/W"
2021,"DB/Al, RY/L"
2021,"LB/Al, L/O"
2021,"DG/Al, W/HPDB"
2021,"LG/Al, O/DB"
2021,"Al/O, HPDB/HPDB"
2021,"L/Al, DG/R"
2021,"B/Al, DG/R"
2021,"O/Al, W/O"
2021,"DG/Al, Y/DG"
2021,"L/Al, R/Y"
2021,"DB/Al, O/DB"
2021,"B/Al, B/W"
2021,"DB/Al, LW/LG"
2021,"DG/Al, LG/O"
2021,"Y/Al, W/RW"
2021,"B/Al, DB/LG"
2021,"R/Al, Y/L"
2021,"O/Al, LG/R"
2021,"W/Al, L/DB"
2021,"Y/Al, HPDB/W"
2021,"Y/Al, B/R"
2021,
2021,"W/AL, R/HPDB"
2021,"Y/Al, W/O"
2021,"B/Al, Y/W"
2021,"LGL/Al, DG/R"
2021,"Y/Al, DG/O"
2021,"W/Al, DG/R"
2021,"O/Al, R/DB"
2021,"B/Al, DBR/W"
2021,"O/Al, DG/RW"
2021,"LGL/Al, W/R"
2021,"W/Al, RW/LGL"
2021,
2021,"O/Al, DB/W"
2021,"LGL/Al, DB/O"
2021,
2021,"O/Al, R/DG"
2021,"DB/Al, RY/L"
2021,"L/Al, W/DG"
2021,"B/Al, HPDB/RW"
2021,"B/Al, Y/LGL"
2021,"DB/Al, R/LG"
